"ID";"CNAE";"DESCRIPCION"
163;"2451";"FAB. JABONES; DETERG. Y OTROS ART. LIMP. Y ABRILLANTAMIENTO"
164;"2452";FABRICACION DE PERFUMES Y PRODUCTOS DE BELLEZA E HIGIENE
165;"2460";FABRICACION DE OTROS PRODUCTOS QUIMICOS
166;"2461";FABRICACION DE EXPLOSIVOS Y ARTICULOS PIROTECNICOS
167;"2462";FABRICACION DE COLAS Y GELATINAS
168;"2463";FABRICACION DE ACEITES ESENCIALES
169;"2464";FAB. MATERIAL FOTOGRAFICO VIRGEN PREP. QUIMICOS PARA FOTOGR.
170;"2465";FABRICACION DE SOPORTES VIRGENES PARA GRABACION
171;"2466";FABRICACION DE OTROS PRODUCTOS QUIMICOS
172;"2470";FABRICACION DE FIBRAS ARTIFICIALES Y SINTETICAS
173;"2510";FABRICACION DE PRODUCTOS DE CAUCHO
174;"2510";FABRICACION DE NEUMATICOS Y CAMARAS DE CAUCHO
175;"2510";RECONSTRUCCION Y RECAUCHUTADO DE NEUMATICOS
176;"2510";FABRICACION DE OTROS PRODUCTOS DE CAUCHO
177;"2510";FABRICACION DE PRODUCTOS DE MATERIAS PLASTICAS
178;"2510";"FABR. PLACAS; HOJAS; TUBOS Y PERFILES DE MATERIAS PLASTICAS"
179;"2510";FABRICACION DE ENVASES Y EMBALAJES DE MATERIAS PLASTICAS
180;"2510";FABRIC. PRODUCTOS DE MATERIAS PLASTICAS PARA LA CONSTRUCCION
181;"2510";FABRICACION DE OTROS PRODUCTOS DE MATERIAS PLASTICAS
182;"2610";FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO
183;"2611";FABRICACION DE VIDRIO PLANO
184;"2612";MANIPULADO Y TRANSFORMACION DE VIDRIO PLANO
185;"2613";FABRICACION DE VIDRIO HUECO
186;"2614";FABRICACION DE FIBRA DE VIDRIO
187;"2615";FABRIC. Y MANIPULADO OTRO VIDRIO (INCLUIDO VIDRIO TECNICO)
